basin_id,area,srftopo,slope_avg,wcap,wava,fveg,lai,p_mean,pet_mean,aridity,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
4060314110_0,11309.4,648.4649809,0.016622957,433.8847124,222.360639,0.228950389,1.281248059,1.180590835,5.902343537,4.99948277,0.393722037,20.9,1.447140381,298.85,8.191912269
4060320440_0,1500.6,153.6936793,0.000900861,733.867918,368.8713961,0.329332038,1.67335819,1.406407965,4.834954704,3.437803842,0.346910112,22.025,1.360123648,299.175,7.91468254
4060320450_0,1554.1,157.1264496,0.001576233,838.5132345,419.7835871,0.403106271,1.788479304,1.553664785,4.608100641,2.965955517,0.351907667,22.2,1.325859492,294.15,7.376802508
4060325660_0,9594.9,2089.680082,0.071199521,250.2372825,139.1542009,0.24907583,1.138468338,1.906075463,4.092114695,2.146879688,0.473020467,13.25,1.216091954,213.3,3.418669872
4060325880_0,2786.2,1204.34289,0.035100958,329.674633,174.616209,0.332788741,1.222948778,1.99275772,3.077764434,1.544474977,0.321246062,14.025,1.164241164,215.8,3.672054445
4060326920_0,7663.6,2419.977524,0.073160007,261.0442638,144.0952686,0.261809044,1.145592399,1.88430343,4.74543419,2.518402353,0.451891817,13.975,1.17721519,222.125,3.673418768
4060327490_0,7339.9,703.7858103,0.017963259,407.2013076,209.6144265,0.220247423,1.215834824,1.193124373,6.199200132,5.195770259,0.396450969,20.425,1.447602131,298.525,8.18861454
4060327650_0,2261.3,519.639863,0.010324937,308.2805762,162.0195484,0.179152502,1.0298537,1.071828672,4.824181007,4.500888185,0.359766462,19.925,1.386759582,308.125,8.921014493
4060327900_0,1843.5,596.8853022,0.023085758,385.5685043,202.5493272,0.387673466,1.753276446,2.476358118,9.934266073,4.011643551,0.404910121,18.675,1.258010118,236.475,4.059656652
4060328040_0,2870.4,649.7241135,0.021615691,439.7150345,225.4479237,0.377029534,1.717727851,2.720671163,10.55617333,3.879988687,0.404636828,17.425,1.227915194,230.275,3.894714588
4060333000_0,29420.1,751.27856,0.020526975,423.2331425,218.0788397,0.264280293,1.467363666,1.343810882,4.954199225,3.686678901,0.361122866,20.075,1.343383585,285.775,6.956177724
4060343050_0,14861.7,463.6402406,0.017054027,608.8450285,311.3699589,0.387196476,1.843785665,2.67396639,7.092966806,2.652601331,0.368266816,18.075,1.264912281,238.0,4.126571305
4060343060_0,1901.9,533.4219208,0.021920363,350.4463514,185.3884525,0.393026695,1.72786804,2.909272299,11.69023549,4.0182679,0.38220042,17.45,1.260869565,229.6,3.734851566
4060348020_0,5989.1,168.8908562,0.001619942,609.3052436,308.3020028,0.289055912,1.539761852,1.562838772,4.753653058,3.041678479,0.339260987,21.45,1.300455235,292.575,7.084140436
4060348030_0,11136.9,216.4938099,0.005455996,814.7343378,409.3827103,0.471688694,1.851504333,1.984205295,4.733935731,2.385809443,0.351816444,20.925,1.32278481,269.475,5.640502355
4060361100_0,4237.5,715.3911339,0.023611751,376.0513973,197.8707596,0.382874095,1.780526745,2.610903455,12.12343459,4.64338678,0.404338425,17.0,1.239488117,226.65,3.77278402
4060362090_0,3509.2,741.4605293,0.01955707,432.2722015,224.1035347,0.386232418,1.907306205,3.01289931,11.72389107,3.891232287,0.397705146,15.875,1.253465347,214.65,3.390995261
4060362240_0,3336.3,150.432044,0.002840395,727.3328766,366.3346905,0.342149599,1.755613662,1.770669594,4.652740171,2.627672711,0.331045561,21.3,1.307219662,288.8,6.731934732
4060362250_0,4613.7,163.3773093,0.00567607,816.1156082,410.2447071,0.468980802,1.887353886,2.051425354,5.338343068,2.602260452,0.340232206,21.55,1.304545455,276.75,5.875796178
4060370560_0,4934.0,265.1186044,0.013479952,703.9628075,358.1316395,0.401277002,1.846933272,2.434768407,9.412777055,3.865984554,0.344034738,20.5,1.245426829,260.3,4.948669202
4060370730_0,1705.3,117.4192702,0.00531903,839.0859248,421.265021,0.483996897,1.921824841,2.193443853,4.722799901,2.15314374,0.325728402,21.575,1.30015083,278.0,5.94017094
4060378910_0,19236.6,2741.516255,0.067173226,195.0922546,107.7058558,0.148333004,0.781430255,1.68434534,1.753754044,1.04120812,0.567398335,13.925,1.257918552,222.425,4.486636409
